,NAME,POSITIONS,OVA,POT,TEAM,CONTRACT_LENGTH,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,TOTAL,PAC,SHO,PAS,DRI,DEF,PHY,FULL_NAME,AGE,VALUE_EUR,SALARY_EUR
495,A. Mitrović,ST ,79,79,Fulham,2018 ~ 2024,340,301,338,411,332,62,1837,65,79,58,71,27,88,Aleksandar Mitrović,27,19000000.0,70000.0
496,B. Embolo,ST ,78,81,Monaco,2022 ~ 2026,363,347,381,395,342,141,2014,84,76,70,74,51,82,Breel Embolo,25,19000000.0,52000.0
497,A. Disasi,CB ,78,83,Monaco,2020 ~ 2025,227,253,244,309,266,234,1578,53,29,53,55,79,82,Axel Disasi,24,19000000.0,39000.0
498,C. Ünder,RW RM ,78,81,Olympique Marseille,2022 ~ 2025,359,385,392,318,295,106,1901,79,75,77,78,38,51,Cengiz Ünder,24,19000000.0,38000.0
499,S. Azmoun,ST CAM ,79,79,Bayer 04 Leverkusen,2022 ~ 2027,381,345,390,384,315,104,1973,78,75,71,78,40,73,Sardar Azmoun,27,19000000.0,60000.0
500,K. Mavropanos,CB RB ,78,83,VfB Stuttgart,2022 ~ 2025,268,257,329,376,277,235,1793,81,56,52,60,78,81,Konstantinos Mavropanos,24,19000000.0,22000.0
501,H. Hateboer,RWB RB RM ,80,80,Atalanta,2017 ~ 2024,352,319,385,355,347,232,2044,82,64,71,77,77,76,Hans Hateboer,28,19000000.0,53000.0
502,A. Lookman,LM RM ,78,81,Atalanta,2022 ~ 2026,333,339,417,337,309,74,1863,85,75,69,82,29,60,Ademola Lookman,24,19000000.0,42000.0
503,G. Vicario,GK ,79,83,Empoli,2022 ~ 2024,62,77,187,181,117,47,1066,81,78,75,82,28,79,Guglielmo Vicario,25,19000000.0,11000.0
504,S. Sensi,CM CAM ,79,79,Monza,"Jun 30, 2023",323,417,398,326,362,204,2078,74,62,84,85,65,59,Stefano Sensi,26,19000000.0,66000.0
505,M. Lopez,CM CDM ,78,81,Sassuolo,2020 ~ 2025,357,390,405,331,357,200,2091,72,71,79,82,67,57,Maxime Lopez,24,19000000.0,30000.0
506,Reinildo,LB CB ,80,80,Atlético Madrid,2022 ~ 2025,332,313,393,346,335,239,2007,84,55,67,75,79,78,Reinildo Isnard Mandava,28,19000000.0,56000.0
507,Munir,LM RM LW ,79,79,Getafe,2022 ~ 2023,389,375,395,355,303,90,1963,77,78,75,82,35,64,Munir El Haddadi,26,19000000.0,33000.0
508,Galeno,LM ,78,81,Porto,2022 ~ 2026,319,363,419,369,304,102,1934,92,74,67,82,38,68,Wenderson Nascimento Galeno,24,19000000.0,14000.0
509,Douglas Luiz,CDM CM ,78,82,Aston Villa,2019 ~ 2026,349,405,359,370,336,216,2083,67,69,82,78,73,71,Douglas Luiz Soares de Paulo,24,18500000.0,59000.0
510,T. Adams,CDM CM ,78,82,Leeds United,2022 ~ 2027,279,311,407,336,344,231,1954,81,48,68,74,76,76,Tyler Adams,23,18500000.0,34000.0
511,I. Meslier,GK ,77,84,Leeds United,2020 ~ 2026,103,127,218,205,126,58,1216,79,76,71,81,38,72,Illan Meslier,22,18500000.0,25000.0
512,N. Aké,CB LB ,79,81,Manchester City,2020 ~ 2025,319,339,364,360,322,240,1994,76,53,70,71,80,77,Nathan Aké,27,18500000.0,105000.0
513,Caio Henrique,LB LWB ,78,82,Monaco,2020 ~ 2027,327,381,379,322,343,223,2024,77,58,77,78,73,62,Caio Henrique Oliveira Silva,24,18500000.0,39000.0
514,N. Pépé,RM LM LW ,79,79,Nice,"Jun 30, 2023",354,392,410,356,312,100,1974,88,77,74,82,36,62,Nicolas Pépé,27,18500000.0,83000.0
515,J. Clauss,RWB ,80,80,Olympique Marseille,2022 ~ 2025,341,376,402,358,337,214,2095,84,69,76,78,69,70,Jonathan Clauss,29,18500000.0,45000.0
516,C. Günter,LB LWB LM ,80,80,SC Freiburg,2012 ~ 2026,316,353,365,360,332,226,2007,80,58,71,71,75,82,Christian Günter,29,18500000.0,34000.0
517,M. Zaccagni,LW ,79,79,Lazio,2021 ~ 2025,354,360,412,329,334,165,2012,82,73,74,83,57,64,Mattia Zaccagni,27,18500000.0,57000.0
518,C. Biraghi,LB ,80,80,Fiorentina,2018 ~ 2024,344,398,376,386,372,230,2155,76,69,78,77,77,75,Cristiano Biraghi,29,18500000.0,58000.0
519,M. Pessina,CAM CM CF ,78,81,Monza,"Jun 30, 2023",354,366,356,350,360,213,2048,72,70,77,79,71,71,Matteo Pessina,25,18500000.0,46000.0
520,Héctor Bellerín,RB ,79,80,FC Barcelona,2022 ~ 2023,308,327,392,289,345,229,1951,81,51,70,77,75,64,Héctor Bellerín Moruno,27,18500000.0,115000.0
521,Lucas Vázquez,RB RW ,81,81,Real Madrid,2015 ~ 2024,353,390,407,372,362,221,2155,82,73,80,80,73,69,Lucas Vázquez Iglesias,31,18500000.0,140000.0
522,Álex Moreno,LB ,80,80,Real Betis,2019 ~ 2025,356,348,415,338,361,230,2102,88,69,73,77,76,69,Alexandre Moreno Lopera,29,18500000.0,29000.0
523,C. Montes,CB ,78,83,Espanyol,2023 ~ 2028,268,303,326,330,324,236,1829,62,44,63,65,79,78,César Montes,25,18500000.0,19000.0
524,G. Mamardashvili,GK ,78,84,Valencia,2022 ~ 2027,58,69,217,235,86,27,1082,79,78,74,80,48,79,Giorgi Mamardashvili,21,18500000.0,17000.0
525,Isi Palazón,RM ,79,79,Rayo Vallecano,2020 ~ 2025,329,380,410,362,325,117,1980,84,74,76,80,39,64,Isaac Palazón Camacho,27,18500000.0,25000.0
526,Alex Telles,LB ,80,80,Sevilla,"Jun 30, 2023",359,401,381,395,392,227,2213,79,74,81,77,75,71,Alex Nicolao Telles,29,18500000.0,110000.0
527,Luis Milla,CM CDM ,79,79,Getafe,2022 ~ 2027,322,372,366,377,380,231,2101,70,72,77,75,75,74,Luis Milla Manzanares,27,18500000.0,33000.0
528,D. Henderson,GK ,79,82,Nottingham Forest,"Jun 30, 2023",86,119,305,228,125,43,1298,80,78,77,82,55,75,Dean Henderson,25,18000000.0,76000.0
529,D. Sánchez,CB ,79,80,Tottenham Hotspur,2017 ~ 2024,263,257,345,335,291,238,1776,75,47,55,65,79,78,Davinson Sánchez,26,18000000.0,81000.0
530,W. Faes,CB ,78,82,Leicester City,2022 ~ 2027,250,271,288,317,280,238,1688,56,39,56,60,79,78,Wout Faes,24,18000000.0,59000.0
531,H. Traoré,RB ,80,80,Rennes,2017 ~ 2023,310,342,396,377,333,228,2042,83,57,72,76,75,78,Hamari Traoré,30,18000000.0,50000.0
532,L. Ajorque,ST ,79,79,Strasbourg,2018 ~ 2024,360,305,310,391,345,113,1880,73,79,61,70,43,84,Ludovic Ajorque,28,18000000.0,36000.0
533,E. Skhiri,CDM CM ,79,80,FC Köln,2019 ~ 2023,352,349,351,381,355,230,2083,68,72,71,75,79,75,Ellyes Skhiri,27,18000000.0,31000.0
534,Luís Maximiano,GK ,78,84,Lazio,2022 ~ 2026,75,93,279,209,95,49,1179,78,76,68,81,55,76,Luís Manuel Arantes Maximiano,23,18000000.0,29000.0
535,A. Meret,GK ,79,82,Napoli,2019 ~ 2024,100,101,248,232,106,43,1215,79,75,70,82,44,79,Alex Meret,25,18000000.0,39000.0
536,A. Rrahmani,CB ,80,80,Napoli,2020 ~ 2024,276,279,294,353,289,249,1788,61,51,58,61,82,80,Amir Rrahmani,28,18000000.0,57000.0
537,Sergi Roberto,RB CM ,80,80,FC Barcelona,2013 ~ 2023,345,374,367,329,350,224,2055,74,63,79,77,75,72,Sergio Roberto Carnicer,30,18000000.0,125000.0
538,Rui Silva,GK ,80,82,Real Betis,2021 ~ 2026,95,110,190,228,146,54,1221,80,77,77,83,31,81,Rui Tiago Dantas da Silva,28,18000000.0,24000.0
539,D. Ings,ST ,79,79,Aston Villa,2021 ~ 2024,377,359,379,383,350,117,2022,72,82,70,78,45,70,Danny Ings,29,17500000.0,95000.0
540,J. Tarkowski,CB ,80,80,Everton,2022 ~ 2026,288,306,295,339,325,246,1849,55,45,65,63,82,81,James Tarkowski,29,17500000.0,48000.0
541,H. Maguire,CB ,80,80,Manchester United,2019 ~ 2024,311,324,245,381,361,229,1913,48,57,68,66,79,84,Harry Maguire,29,17500000.0,110000.0
542,V. Lindelöf,CB ,79,80,Manchester United,2017 ~ 2024,297,343,315,345,339,240,1931,59,51,72,71,81,75,Victor Lindelöf,27,17500000.0,100000.0
543,D. Ćaleta-Car,CB ,78,82,Southampton,2022 ~ 2026,244,263,291,329,315,236,1722,58,39,59,62,79,80,Duje Ćaleta-Car,25,17500000.0,48000.0
544,Danilo Pereira,CDM CM CB ,80,80,Paris Saint Germain,2020 ~ 2025,331,332,287,390,356,229,1983,56,63,70,71,79,85,Danilo Luís Hélio Pereira,30,17500000.0,76000.0
545,A. Plea,CF LM ,79,79,Borussia Mönchengladbach,2018 ~ 2025,391,388,388,380,338,99,2053,73,79,80,78,39,73,Alassane Plea,29,17500000.0,38000.0
546,M. Flekken,GK ,81,81,SC Freiburg,2018 ~ 2026,94,119,216,227,124,48,1229,81,74,82,84,31,80,Mark Flekken,29,17500000.0,30000.0
547,Rafael Tolói,CB ,81,81,Atalanta,2015 ~ 2024,266,307,344,377,317,248,1922,67,52,59,65,83,82,Rafael Tolói,31,17500000.0,55000.0
548,G. Wijnaldum,CM CDM ,80,80,Roma,"Jun 30, 2023",366,390,386,385,387,224,2192,69,71,77,80,77,78,Georginio Wijnaldum,31,17500000.0,83000.0
549,Edgar,CB CDM ,78,82,Real Betis,2018 ~ 2025,285,266,297,314,316,240,1766,60,49,64,64,80,78,Edgar González Estrada,25,17500000.0,23000.0
550,Denis Suárez,CM ,79,79,Celta de Vigo,2019 ~ 2023,347,395,382,319,343,183,2017,72,72,81,81,64,55,Denis Suárez Fernández,28,17500000.0,30000.0
551,Zubeldia,CB ,78,82,Real Sociedad,2015 ~ 2024,328,355,351,371,353,233,2037,65,63,75,70,78,79,Igor Zubeldia Elorza,25,17500000.0,29000.0
552,Rubén García,LM CM CAM ,79,79,Osasuna,2018 ~ 2024,354,394,396,329,317,134,1984,77,76,79,79,45,54,Rubén García Santos,28,17500000.0,35000.0
553,T. Delaney,CDM CM ,80,80,Sevilla,2021 ~ 2025,362,364,365,403,374,244,2172,72,71,74,73,81,81,Thomas Delaney,30,17500000.0,31000.0
554,Suso,RW ,79,79,Sevilla,2020 ~ 2025,354,409,385,320,286,89,1899,73,76,80,83,32,51,Jesús Joaquín Fernández Sáez,28,17500000.0,36000.0
555,F. Coquelin,CM LM CDM ,80,80,Villarreal,2020 ~ 2024,341,366,368,383,372,238,2119,68,68,78,79,78,80,Francis Coquelin,31,17500000.0,39000.0
556,J. Ledesma,GK ,80,82,Cádiz,2020 ~ 2025,105,96,255,249,125,44,1266,82,77,72,83,46,78,Jeremías Conan Ledesma,29,17500000.0,30000.0
557,J. Draxler,LW CAM ,79,79,Benfica,"Jun 30, 2023",375,397,374,366,346,156,2064,72,76,80,82,58,65,Julian Draxler,28,17500000.0,88000.0
558,C. Jones,CM ,76,84,Liverpool,2018 ~ 2025,315,355,364,348,345,193,1964,68,68,72,80,64,70,Curtis Jones,21,17000000.0,60000.0
559,Lucas Moura,RW ,79,79,Tottenham Hotspur,2018 ~ 2024,359,367,435,372,354,123,2064,88,76,70,84,46,66,Lucas Rodrigues M. Silva,29,17000000.0,100000.0
560,M. Cornet,LM CF ,78,79,West Ham United,2022 ~ 2027,364,357,404,396,351,200,2130,87,76,71,77,67,77,Maxwel Cornet,25,17000000.0,63000.0
561,M. Damsgaard,LW LM CAM ,76,84,Brentford,2022 ~ 2027,305,380,409,340,301,138,1921,83,68,71,81,48,61,Mikkel Damsgaard,21,17000000.0,37000.0
562,W. Endo,CM CDM ,79,79,VfB Stuttgart,2020 ~ 2024,306,326,369,390,358,233,2027,67,66,71,79,79,75,Wataru Endo,29,17000000.0,32000.0
563,P. Wimmer,RM LM ,76,84,VfL Wolfsburg,2022 ~ 2027,300,321,402,370,306,144,1904,85,66,69,77,48,73,Patrick Wimmer,21,17000000.0,30000.0
564,Felipe Anderson,RW ST ,79,79,Lazio,2021 ~ 2024,342,387,419,352,342,152,2037,86,75,77,83,55,65,Felipe Anderson Pereira Gomes,29,17000000.0,60000.0
565,T. Pobega,CM ,76,85,Milan,2019 ~ 2027,372,350,389,393,355,224,2133,76,77,72,76,74,79,Tommaso Pobega,22,17000000.0,45000.0
566,G. Simeone,ST ,78,79,Napoli,"Jun 30, 2023",361,350,379,393,316,118,1978,77,79,64,75,41,76,Giovanni Simeone,26,17000000.0,33000.0
567,D. Udogie,LWB LM ,76,89,Udinese,"Jun 30, 2023",336,328,395,346,311,204,1977,88,63,68,76,68,74,Destiny Udogie,19,17000000.0,34000.0
568,M. Barrow,CF ST LW ,77,83,Bologna,2021 ~ 2024,341,334,377,346,267,81,1800,84,75,69,78,31,63,Musa Barrow,23,17000000.0,31000.0
569,I. Ilić,CM CF ,76,84,Hellas Verona,2021 ~ 2026,338,373,356,367,343,201,2031,72,71,77,77,66,71,Ivan Ilić,21,17000000.0,20000.0
570,Arthur Cabral,ST ,77,83,Fiorentina,2022 ~ 2026,357,316,359,393,305,79,1863,73,77,63,73,31,78,Arthur Mendonça Cabral,24,17000000.0,47000.0
571,Juanmi,LM ST ,79,79,Real Betis,2019 ~ 2024,389,344,393,362,298,78,1911,78,80,72,80,31,60,Juan Miguel Jiménez López,29,17000000.0,30000.0
572,Joselu,ST ,80,80,Espanyol,2022 ~ 2025,384,351,303,402,335,70,1897,64,81,69,73,31,77,José Luis Sanmartín Mato,32,17000000.0,27000.0
573,E. Lamela,RW CAM ST ,79,79,Sevilla,2021 ~ 2024,365,407,392,346,373,156,2096,80,76,78,82,53,69,Erik Lamela,30,17000000.0,34000.0
574,Vitinha,ST ,76,84,Sporting Braga,2020 ~ 2027,345,313,379,390,328,74,1872,78,75,62,75,33,81,Vítor Manuel Carvalho Oliveira,22,17000000.0,14000.0
575,J. Andersen,CB ,78,81,Crystal Palace,2021 ~ 2026,287,340,282,357,313,231,1868,53,50,69,66,77,80,Joachim Andersen,26,16500000.0,51000.0
576,R. Faivre,RM CM CAM ,77,83,Olympique Lyonnais,2022 ~ 2026,352,388,375,357,356,180,2077,74,73,76,79,62,67,Romain Faivre,23,16500000.0,49000.0
577,A. Nübel,GK ,78,83,Monaco,"Jun 30, 2023",88,96,260,241,101,50,1212,75,71,70,84,48,76,Alexander Nübel,25,16500000.0,39000.0
578,H. Ekitike,ST ,76,85,Paris Saint Germain,"Jun 30, 2023",333,313,359,359,283,57,1749,74,75,60,76,25,69,Hugo Ekitike,20,16500000.0,19000.0
579,N. Elvedi,CB ,78,81,Borussia Mönchengladbach,2015 ~ 2024,277,274,336,331,302,238,1813,70,39,64,68,79,78,Nico Elvedi,25,16500000.0,27000.0
580,A. Diallo,CB LB ,78,81,RB Leipzig,"Jun 30, 2023",301,314,366,309,325,236,1892,72,39,71,74,78,76,Abdou Diallo,26,16500000.0,65000.0
581,J. Aidoo,CB ,78,81,Celta de Vigo,2019 ~ 2026,227,197,348,331,246,225,1619,75,27,48,50,76,88,Joseph Aidoo,26,16500000.0,24000.0
582,David García,CB ,79,80,Osasuna,2013 ~ 2026,298,287,298,307,304,241,1784,61,37,65,65,80,75,David García Zubiria,28,16500000.0,32000.0
583,F. Aursnes,CM CDM ,78,79,Benfica,2022 ~ 2027,338,370,393,377,368,222,2129,75,65,77,79,74,80,Fredrik Aursnes,26,16500000.0,16000.0
584,Lucas Veríssimo,CB ,78,81,Benfica,2021 ~ 2026,245,260,349,337,282,230,1761,80,39,57,63,78,79,Lucas Veríssimo da Silva,26,16500000.0,14000.0
585,I. Perišić,LWB LM ,82,82,Tottenham Hotspur,2022 ~ 2024,404,398,394,408,379,223,2244,79,80,80,82,76,77,Ivan Perišić,33,16000000.0,100000.0
586,R. Sessegnon,LWB LB ,76,84,Tottenham Hotspur,2019 ~ 2025,332,325,395,323,351,209,1974,82,65,72,77,69,65,Ryan Sessegnon,22,16000000.0,55000.0
587,R. Aït Nouri,LB LWB ,76,84,Wolverhampton Wanderers,2021 ~ 2026,307,353,379,300,312,221,1932,80,53,70,77,72,64,Rayan Aït Nouri,21,16000000.0,43000.0
588,E. Eze,CAM CM LM ,77,82,Crystal Palace,2020 ~ 2025,323,371,385,350,328,140,1952,75,70,74,81,49,67,Eberechi Eze,24,16000000.0,45000.0
589,Robert Sánchez,GK ,78,82,Brighton & Hove Albion,2015 ~ 2025,107,133,237,250,133,46,1292,79,76,73,80,45,78,Robert Lynch Sánchez,24,16000000.0,39000.0
590,A. Lopes,GK ,82,82,Olympique Lyonnais,2011 ~ 2025,98,96,338,262,143,41,1377,84,78,71,86,63,80,Anthony Lopes,31,16000000.0,60000.0
591,Vanderson,RB RM ,76,85,Monaco,2022 ~ 2027,345,359,381,319,336,217,1992,78,62,74,75,72,69,Vanderson de Oliveira Campos,21,16000000.0,29000.0
592,A. Hložek,CAM LM ST ,76,86,Bayer 04 Leverkusen,2022 ~ 2027,365,356,380,384,313,78,1927,78,75,72,77,31,78,Adam Hložek,19,16000000.0,25000.0
593,H. Mkhitaryan,CAM CM ,81,81,Inter,2022 ~ 2024,381,384,414,376,370,159,2126,82,79,78,83,56,72,Henrikh Mkhitaryan,33,16000000.0,74000.0
594,M. Lazzari,RB ,79,79,Lazio,2019 ~ 2027,331,364,440,291,342,216,2031,92,62,76,82,70,65,Manuel Lazzari,28,16000000.0,51000.0
595,W. Singo,RWB RM ,76,85,Torino,2019 ~ 2023,337,317,370,352,300,215,1935,81,57,67,73,72,74,Wilfried Singo,21,16000000.0,26000.0
596,Nico Williams,RM LM ,76,87,Athletic Club,2020 ~ 2024,346,344,422,336,268,74,1850,92,71,67,80,33,58,Nicholas Williams Arthuer,19,16000000.0,14000.0
597,Pedraza,LB LM ,78,80,Villarreal,2014 ~ 2026,352,352,380,373,349,226,2083,81,72,72,76,74,75,Alfonso Pedraza Sag,26,16000000.0,31000.0
598,V. Castellanos,ST ,77,82,Girona,"Jun 30, 2023",362,337,376,384,340,119,1969,78,77,69,75,41,78,Valentin Castellanos,23,16000000.0,10000.0
599,H. Morita,CM CDM ,78,79,Sporting CP,2022 ~ 2026,297,353,352,353,349,219,1967,67,67,75,76,72,74,Hidemasa Morita,27,16000000.0,16000.0
600,M. Niakhaté,CB ,78,80,Nottingham Forest,2022 ~ 2025,296,281,351,310,339,233,1854,79,42,65,67,79,77,Moussa Niakhaté,26,15500000.0,57000.0
601,O. Skipp,CDM CM ,77,83,Tottenham Hotspur,2018 ~ 2024,260,322,345,308,337,232,1845,65,47,68,71,75,70,Oliver Skipp,21,15500000.0,49000.0
602,S. Benrahma,LM CAM ,78,78,West Ham United,2021 ~ 2026,334,374,394,332,315,116,1918,75,73,75,82,40,57,Saïd Benrahma,26,15500000.0,66000.0
603,V. Coufal,RB ,79,79,West Ham United,2020 ~ 2023,338,339,372,371,349,238,2063,70,56,73,75,78,81,Vladimír Coufal,29,15500000.0,69000.0
604,J. Vardy,ST ,83,83,Leicester City,2012 ~ 2024,391,350,403,363,380,149,2098,84,82,70,79,52,70,Jamie Vardy,35,15500000.0,90000.0
605,Ç. Söyüncü,CB ,78,80,Leicester City,2018 ~ 2023,284,273,336,332,312,232,1803,71,46,60,65,77,78,Çağlar Söyüncü,26,15500000.0,69000.0
606,P. Daka,ST ,77,81,Leicester City,2021 ~ 2026,342,332,410,379,290,58,1850,90,77,60,76,25,70,Patson Daka,23,15500000.0,68000.0
607,A. Truffert,LB ,76,84,Rennes,2019 ~ 2025,314,338,368,329,330,224,1935,76,55,70,74,72,69,Adrien Truffert,20,15500000.0,27000.0
608,P. Lienhart,CB ,78,80,SC Freiburg,2018 ~ 2024,240,251,341,277,283,240,1691,70,28,56,62,80,74,Philipp Lienhart,25,15500000.0,27000.0
609,M. Lacroix,CB ,76,85,VfL Wolfsburg,2020 ~ 2025,237,263,368,301,272,229,1726,87,33,55,67,77,76,Maxence Lacroix,22,15500000.0,31000.0
610,K. Dolberg,ST ,77,81,TSG Hoffenheim,"Jun 30, 2023",355,359,349,385,284,71,1854,71,79,67,76,30,68,Kasper Dolberg,24,15500000.0,39000.0
611,Alex Sandro,LB ,80,80,Juventus,2015 ~ 2023,353,360,374,384,356,229,2096,75,65,74,79,76,78,Alex Sandro Lobo Silva,31,15500000.0,95000.0
612,A. Marušić,LB RB ,79,79,Lazio,2017 ~ 2025,347,336,385,398,335,224,2069,84,66,67,74,75,79,Adam Marušić,29,15500000.0,51000.0
613,N. Casale,CB ,76,84,Lazio,2022 ~ 2027,307,306,344,339,327,229,1909,74,53,66,68,77,77,Nicolò Casale,24,15500000.0,33000.0
614,Vivian,CB ,77,83,Athletic Club,2019 ~ 2026,283,239,350,307,298,235,1759,70,43,56,61,78,77,Daniel Vivian Moreno,22,15500000.0,21000.0
615,U. Sadiq,ST ,77,82,Real Sociedad,2022 ~ 2025,342,306,346,396,265,76,1784,84,76,60,72,30,76,Umar Sadiq,25,15500000.0,33000.0
616,J. McGinn,CM CDM ,78,78,Aston Villa,2018 ~ 2025,351,364,375,400,358,222,2126,69,74,75,77,73,81,John McGinn,27,15000000.0,76000.0
617,R. Kristensen,RB ,77,82,Leeds United,2022 ~ 2027,347,340,369,394,351,221,2066,77,67,71,72,74,82,Rasmus Kristensen,24,15000000.0,31000.0
618,J. Willock,CM ,76,83,Newcastle United,2021 ~ 2026,350,340,386,358,361,203,2044,80,72,72,78,70,71,Joe Willock,22,15000000.0,61000.0
619,C. Lenglet,CB ,78,80,Tottenham Hotspur,"Jun 30, 2023",291,294,332,337,322,227,1851,68,45,69,64,77,76,Clément Lenglet,27,15000000.0,105000.0
620,Bryan Gil,LM RM ,76,83,Tottenham Hotspur,2021 ~ 2026,326,374,393,246,261,93,1742,74,68,74,82,31,35,Bryan Gil Salvatierra,21,15000000.0,52000.0
621,T. Castagne,RB RWB ,78,79,Leicester City,2020 ~ 2025,322,316,363,334,346,224,1968,76,58,71,75,75,72,Timothy Castagne,26,15000000.0,69000.0
622,R. Jiménez,ST ,79,79,Wolverhampton Wanderers,2019 ~ 2024,382,358,348,387,383,113,2026,68,79,75,77,46,80,Raúl Jiménez,31,15000000.0,90000.0
623,M. Solomon,LM RM CAM ,76,83,Fulham,"Jun 30, 2023",306,375,393,331,270,132,1862,80,71,74,79,43,57,Manor Solomon,22,15000000.0,900000.0
624,C. Lukeba,CB ,76,86,Olympique Lyonnais,2021 ~ 2025,292,295,358,317,299,234,1851,75,43,67,71,77,75,Castello Lukeba,19,15000000.0,25000.0
625,J. Omlin,GK ,79,81,Montpellier,2020 ~ 2024,125,130,260,255,137,65,1358,80,75,73,82,52,76,Jonas Omlin,28,15000000.0,23000.0
626,S. Mavididi,LM ST ,77,81,Montpellier,2020 ~ 2024,358,340,393,372,275,68,1852,88,75,69,77,28,68,Stephy Mavididi,24,15000000.0,22000.0
627,E. Le Fée,CM CAM RM ,76,83,Lorient,2018 ~ 2024,296,379,350,286,326,182,1875,60,56,77,78,60,49,Enzo Le Fée,22,15000000.0,17000.0
628,J. Veretout,CDM CM ,79,79,Olympique Marseille,2022 ~ 2025,351,373,386,392,388,232,2169,76,75,76,78,75,80,Jordan Veretout,29,15000000.0,42000.0
629,V. Rongier,CM CDM ,78,78,Olympique Marseille,2019 ~ 2026,326,378,386,375,368,234,2116,72,66,76,77,77,79,Valentin Rongier,27,15000000.0,40000.0
630,S. Becker,ST RM ,78,78,FC Union Berlin,2019 ~ 2025,364,341,422,364,303,86,1944,95,77,68,78,35,68,Sheraldo Becker,27,15000000.0,36000.0
631,O. Baumann,GK ,82,82,TSG Hoffenheim,2014 ~ 2024,82,84,268,253,126,47,1262,80,82,79,82,49,79,Oliver Baumann,32,15000000.0,37000.0
632,M. de Roon,CDM CM CB ,80,80,Atalanta,2017 ~ 2024,342,332,350,401,381,245,2111,70,68,70,71,82,83,Marten de Roon,31,15000000.0,51000.0
633,D. Zappacosta,LWB LM RM ,79,79,Atalanta,2021 ~ 2025,353,351,368,366,350,229,2062,78,66,73,74,75,72,Davide Zappacosta,30,15000000.0,48000.0
634,M. Olivera,LB LWB ,77,82,Napoli,2022 ~ 2027,302,316,332,328,319,223,1888,74,50,66,71,74,76,Mathías Olivera,24,15000000.0,37000.0
635,S. Umtiti,CB ,79,79,Lecce,"Jun 30, 2023",331,343,323,372,327,235,1997,63,62,68,67,79,75,Samuel Umtiti,28,15000000.0,125000.0
636,N. Bajrami,CAM CF ,76,83,Empoli,2020 ~ 2024,320,364,370,332,345,184,1961,76,68,73,77,59,66,Nedim Bajrami,23,15000000.0,11000.0
637,G. Maggiore,CM CDM ,77,81,Salernitana,2022 ~ 2026,299,333,360,345,357,219,1950,74,61,71,76,72,72,Giulio Maggiore,24,15000000.0,25000.0
638,J. Ikoné,RW RM ,77,81,Fiorentina,2022 ~ 2026,308,377,426,302,317,104,1886,89,67,72,82,35,60,Jonathan Ikoné,24,15000000.0,47000.0
639,Odriozola,RB ,78,79,Real Madrid,2018 ~ 2024,324,340,390,328,329,226,1989,82,55,71,75,74,65,Álvaro Odriozola Arzalluz,26,15000000.0,115000.0
640,Adrià Pedrosa,LB ,77,82,Espanyol,2017 ~ 2023,324,335,413,337,331,211,2011,90,60,69,78,69,73,Adrià Giner Pedrosa,24,15000000.0,16000.0
641,Lee Kang In,LM ST CAM ,76,83,Mallorca,2021 ~ 2025,364,391,388,292,316,77,1885,75,72,77,79,30,58,Kang In Lee,21,15000000.0,19000.0
642,A. Januzaj,RW LW ,78,78,Sevilla,2022 ~ 2026,342,398,387,331,291,75,1879,76,72,79,82,30,57,Adnan Januzaj,27,15000000.0,31000.0
643,Óliver Torres,CM LW CAM ,78,78,Sevilla,2019 ~ 2024,335,389,350,293,350,189,1948,59,67,78,81,64,50,Óliver Torres Muñoz,27,15000000.0,29000.0
644,Trincão,RW RM ,76,83,Sporting CP,"Jun 30, 2023",341,369,382,334,305,107,1880,78,72,70,81,39,59,Francisco Mota Castro Trincão,22,15000000.0,95000.0
645,Iuri Medeiros,CAM CF RM ,78,78,Sporting Braga,2020 ~ 2026,345,393,404,323,329,93,1930,75,73,78,82,34,58,Iuri José Picanço Medeiros,27,15000000.0,17000.0
646,C. Coady,CB ,79,79,Everton,"Jun 30, 2023",334,341,273,359,329,236,1925,47,57,75,66,80,73,Conor Coady,29,14500000.0,80000.0
647,P. Bamford,ST ,78,78,Leeds United,2018 ~ 2026,355,337,374,380,343,97,1935,82,77,68,72,42,76,Patrick Bamford,28,14500000.0,48000.0
648,S. Ortega,GK ,80,80,Manchester City,2022 ~ 2025,106,141,280,260,156,56,1400,76,74,86,85,52,80,Stefan Ortega,29,14500000.0,95000.0
649,F. Schär,CB ,79,79,Newcastle United,2018 ~ 2024,344,354,301,374,362,242,2030,54,67,72,70,81,74,Fabian Schär,30,14500000.0,81000.0
650,T. Awoniyi,ST ,77,80,Nottingham Forest,2022 ~ 2027,348,287,381,384,310,75,1829,83,76,59,70,32,78,Taiwo Awoniyi,24,14500000.0,56000.0
651,M. Salisu,CB ,77,82,Southampton,2020 ~ 2024,239,251,307,314,259,233,1644,69,36,51,55,79,80,Mohammed Salisu,23,14500000.0,41000.0
652,L. Dunk,CB ,79,79,Brighton & Hove Albion,2010 ~ 2025,256,331,245,362,286,239,1777,44,51,62,64,80,79,Lewis Dunk,30,14500000.0,65000.0
653,Nuno Tavares,LB LM ,76,83,Olympique Marseille,"Jun 30, 2023",303,338,384,370,314,215,1976,86,62,68,74,69,78,Nuno Albertino Varela Tavares,22,14500000.0,52000.0
