,klub,pilkarz,pozycja,data_urodzenia,wzrost,dominujaca_noga,kontrakt_od,kontrakt_do,wartosc_eur,liga,wiek
573,FC Liverpool,Joel Matip,Środkowy obrońca,8 sie 1991 (31),"1,95m",prawonożny,1 lip 2016,30 cze 2024,16000000.0,premier league,31
574,FC Liverpool,Nathaniel Phillips,Środkowy obrońca,21 mar 1997 (25),"1,90m",prawonożny,1 lip 2019,30 cze 2025,6000000.0,premier league,25
575,FC Liverpool,Andrew Robertson,Lewy obrońca,11 mar 1994 (28),"1,78m",lewonożny,21 lip 2017,30 cze 2026,55000000.0,premier league,28
576,FC Liverpool,Konstantinos Tsimikas,Lewy obrońca,12 maj 1996 (26),"1,79m",lewonożny,10 sie 2020,30 cze 2025,18000000.0,premier league,26
577,FC Liverpool,Trent Alexander-Arnold,Prawy obrońca,7 paź 1998 (24),"1,80m",prawonożny,1 lip 2016,30 cze 2025,70000000.0,premier league,24
578,FC Liverpool,Calvin Ramsay,Prawy obrońca,31 lip 2003 (19),"1,77m",prawonożny,1 lip 2022,30 cze 2027,5000000.0,premier league,19
579,FC Liverpool,Fabinho,Defensywny pomocnik,23 paź 1993 (29),"1,88m",prawonożny,1 lip 2018,30 cze 2026,55000000.0,premier league,29
580,FC Liverpool,Stefan Bajcetic,Defensywny pomocnik,22 paź 2004 (18),"1,85m",prawonożny,-,30 cze 2025,1000000.0,premier league,18
581,FC Liverpool,Curtis Jones,Środkowy pomocnik,30 sty 2001 (21),"1,85m",prawonożny,1 lip 2020,30 cze 2027,22000000.0,premier league,21
582,FC Liverpool,Naby Keïta,Środkowy pomocnik,10 lut 1995 (27),"1,72m",prawonożny,1 lip 2018,30 cze 2023,20000000.0,premier league,27
583,FC Liverpool,Thiago,Środkowy pomocnik,11 kwi 1991 (31),"1,74m",prawonożny,18 wrz 2020,30 cze 2024,18000000.0,premier league,31
584,FC Liverpool,Arthur Melo,Środkowy pomocnik,12 sie 1996 (26),"1,72m",prawonożny,1 wrz 2022,30 cze 2023,18000000.0,premier league,26
585,FC Liverpool,Jordan Henderson,Środkowy pomocnik,17 cze 1990 (32),"1,87m",prawonożny,1 lip 2011,30 cze 2025,15000000.0,premier league,32
586,FC Liverpool,Alex Oxlade-Chamberlain,Środkowy pomocnik,15 sie 1993 (29),"1,75m",prawonożny,31 sie 2017,30 cze 2023,10000000.0,premier league,29
587,FC Liverpool,James Milner,Środkowy pomocnik,4 sty 1986 (37),"1,75m",prawonożny,1 lip 2015,30 cze 2023,2000000.0,premier league,37
588,FC Liverpool,Harvey Elliott,Ofensywny pomocnik,4 kwi 2003 (19),"1,70m",lewonożny,1 lip 2021,30 cze 2027,35000000.0,premier league,19
589,FC Liverpool,Fábio Carvalho,Ofensywny pomocnik,30 sie 2002 (20),"1,70m",prawonożny,1 lip 2022,30 cze 2027,20000000.0,premier league,20
590,FC Liverpool,Luis Díaz ,Lewy napastnik,13 sty 1997 (26),"1,80m",prawonożny,30 sty 2022,30 cze 2027,75000000.0,premier league,26
591,FC Liverpool,Cody Gakpo,Lewy napastnik,7 maj 1999 (23),"1,89m",prawonożny,1 sty 2023,30 cze 2028,60000000.0,premier league,23
592,FC Liverpool,Diogo Jota ,Lewy napastnik,4 gru 1996 (26),"1,78m",prawonożny,19 wrz 2020,30 cze 2027,55000000.0,premier league,26
593,FC Liverpool,Mohamed Salah,Prawy napastnik,15 cze 1992 (30),"1,75m",lewonożny,1 lip 2017,30 cze 2025,80000000.0,premier league,30
594,FC Liverpool,Darwin Núñez ,Środkowy napastnik,24 cze 1999 (23),"1,87m",prawonożny,1 lip 2022,30 cze 2028,70000000.0,premier league,23
595,FC Liverpool,Roberto Firmino,Środkowy napastnik,2 paź 1991 (31),"1,81m",prawonożny,1 lip 2015,30 cze 2023,28000000.0,premier league,31
596,FC Arsenal,Aaron Ramsdale,Bramkarz,14 maj 1998 (24),"1,90m",prawonożny,20 sie 2021,30 cze 2025,30000000.0,premier league,24
597,FC Arsenal,Matt Turner,Bramkarz,24 cze 1994 (28),"1,91m",prawonożny,1 lip 2022,30 cze 2025,5000000.0,premier league,28
598,FC Arsenal,William Saliba,Środkowy obrońca,24 mar 2001 (21),"1,92m",prawonożny,25 lip 2019,30 cze 2024,50000000.0,premier league,21
599,FC Arsenal,Ben White,Środkowy obrońca,8 paź 1997 (25),"1,86m",prawonożny,30 lip 2021,30 cze 2026,45000000.0,premier league,25
600,FC Arsenal,Gabriel Magalhães,Środkowy obrońca,19 gru 1997 (25),"1,90m",lewonożny,1 wrz 2020,30 cze 2027,40000000.0,premier league,25
601,FC Arsenal,Rob Holding,Środkowy obrońca,20 wrz 1995 (27),"1,89m",prawonożny,22 lip 2016,30 cze 2024,10000000.0,premier league,27
602,FC Arsenal,Oleksandr Zinchenko,Lewy obrońca,15 gru 1996 (26),"1,75m",lewonożny,22 lip 2022,30 cze 2026,32000000.0,premier league,26
603,FC Arsenal,Kieran Tierney,Lewy obrońca,5 cze 1997 (25),"1,80m",lewonożny,8 sie 2019,30 cze 2026,30000000.0,premier league,25
604,FC Arsenal,Takehiro Tomiyasu,Prawy obrońca,5 lis 1998 (24),"1,88m",prawonożny,31 sie 2021,30 cze 2025,25000000.0,premier league,24
605,FC Arsenal,Cédric Soares,Prawy obrońca,31 sie 1991 (31),"1,71m",prawonożny,1 lip 2020,30 cze 2024,4000000.0,premier league,31
606,FC Arsenal,Thomas Partey,Defensywny pomocnik,13 cze 1993 (29),"1,85m",prawonożny,5 paź 2020,30 cze 2025,38000000.0,premier league,29
607,FC Arsenal,Granit Xhaka,Defensywny pomocnik,27 wrz 1992 (30),"1,86m",lewonożny,1 lip 2016,30 cze 2024,28000000.0,premier league,30
608,FC Arsenal,Mohamed Elneny,Defensywny pomocnik,11 lip 1992 (30),"1,79m",prawonożny,14 sty 2016,30 cze 2023,9000000.0,premier league,30
609,FC Arsenal,Albert Sambi Lokonga,Środkowy pomocnik,22 paź 1999 (23),"1,83m",prawonożny,19 lip 2021,30 cze 2026,15000000.0,premier league,23
610,FC Arsenal,Bukayo Saka,Prawy pomocnik,5 wrz 2001 (21),"1,78m",lewonożny,1 lip 2019,30 cze 2024,100000000.0,premier league,21
611,FC Arsenal,Martin Ødegaard,Ofensywny pomocnik,17 gru 1998 (24),"1,78m",lewonożny,20 sie 2021,30 cze 2025,60000000.0,premier league,24
612,FC Arsenal,Emile Smith Rowe,Ofensywny pomocnik,28 lip 2000 (22),"1,82m",prawonożny,1 sie 2020,30 cze 2026,38000000.0,premier league,22
613,FC Arsenal,Fábio Vieira,Ofensywny pomocnik,30 maj 2000 (22),"1,70m",lewonożny,1 lip 2022,30 cze 2027,30000000.0,premier league,22
614,FC Arsenal,Gabriel Martinelli,Lewy napastnik,18 cze 2001 (21),"1,78m",prawonożny,2 lip 2019,30 cze 2024,60000000.0,premier league,21
615,FC Arsenal,Marquinhos,Prawy napastnik,7 kwi 2003 (19),"1,75m",lewonożny,1 lip 2022,30 cze 2027,10000000.0,premier league,19
616,FC Arsenal,Reiss Nelson,Prawy napastnik,10 gru 1999 (23),"1,75m",prawonożny,1 lip 2019,30 cze 2023,7000000.0,premier league,23
617,FC Arsenal,Gabriel Jesus ,Środkowy napastnik,3 kwi 1997 (25),"1,75m",prawonożny,4 lip 2022,30 cze 2027,75000000.0,premier league,25
618,FC Arsenal,Eddie Nketiah,Środkowy napastnik,30 maj 1999 (23),"1,75m",prawonożny,1 sty 2019,30 cze 2027,18000000.0,premier league,23
619,Manchester United,David de Gea,Bramkarz,7 lis 1990 (32),"1,89m",prawonożny,1 lip 2011,30 cze 2023,15000000.0,premier league,32
620,Manchester United,Jack Butland,Bramkarz,10 mar 1993 (29),"1,96m",prawonożny,6 sty 2023,30 cze 2023,1500000.0,premier league,29
621,Manchester United,Tom Heaton,Bramkarz,15 kwi 1986 (36),"1,88m",prawonożny,2 lip 2021,30 cze 2023,600000.0,premier league,36
622,Manchester United,Lisandro Martínez ,Środkowy obrońca,18 sty 1998 (25),"1,75m",lewonożny,27 lip 2022,30 cze 2027,50000000.0,premier league,25
623,Manchester United,Raphaël Varane,Środkowy obrońca,25 kwi 1993 (29),"1,91m",prawonożny,14 sie 2021,30 cze 2025,40000000.0,premier league,29
624,Manchester United,Harry Maguire,Środkowy obrońca,5 mar 1993 (29),"1,94m",prawonożny,5 sie 2019,30 cze 2025,30000000.0,premier league,29
625,Manchester United,Victor Lindelöf,Środkowy obrońca,17 lip 1994 (28),"1,87m",prawonożny,1 lip 2017,30 cze 2024,15000000.0,premier league,28
626,Manchester United,Axel Tuanzebe ,Środkowy obrońca,14 lis 1997 (25),"1,85m",prawonożny,1 sty 2017,30 cze 2023,6000000.0,premier league,25
627,Manchester United,Phil Jones,Środkowy obrońca,21 lut 1992 (30),"1,85m",prawonożny,1 lip 2011,30 cze 2023,2000000.0,premier league,30
628,Manchester United,Luke Shaw,Lewy obrońca,12 lip 1995 (27),"1,78m",lewonożny,1 lip 2014,30 cze 2024,28000000.0,premier league,27
629,Manchester United,Tyrell Malacia,Lewy obrońca,17 sie 1999 (23),"1,69m",lewonożny,5 lip 2022,30 cze 2026,22000000.0,premier league,23
630,Manchester United,Brandon Williams,Lewy obrońca,3 wrz 2000 (22),"1,80m",prawonożny,1 lip 2019,30 cze 2024,10000000.0,premier league,22
631,Manchester United,Diogo Dalot,Prawy obrońca,18 mar 1999 (23),"1,83m",prawonożny,1 lip 2018,30 cze 2024,32000000.0,premier league,23
632,Manchester United,Aaron Wan-Bissaka,Prawy obrońca,26 lis 1997 (25),"1,83m",prawonożny,1 lip 2019,30 cze 2024,18000000.0,premier league,25
633,Manchester United,Casemiro,Defensywny pomocnik,23 lut 1992 (30),"1,85m",prawonożny,22 sie 2022,30 cze 2026,50000000.0,premier league,30
634,Manchester United,Scott McTominay,Defensywny pomocnik,8 gru 1996 (26),"1,91m",prawonożny,1 lip 2017,30 cze 2025,30000000.0,premier league,26
635,Manchester United,Fred,Środkowy pomocnik,5 mar 1993 (29),"1,69m",lewonożny,1 lip 2018,30 cze 2024,20000000.0,premier league,29
636,Manchester United,Donny van de Beek ,Środkowy pomocnik,18 kwi 1997 (25),"1,84m",prawonożny,2 wrz 2020,30 cze 2025,20000000.0,premier league,25
637,Manchester United,Bruno Fernandes,Ofensywny pomocnik,8 wrz 1994 (28),"1,79m",prawonożny,29 sty 2020,30 cze 2026,75000000.0,premier league,28
638,Manchester United,Christian Eriksen,Ofensywny pomocnik,14 lut 1992 (30),"1,82m",prawonożny,15 lip 2022,30 cze 2025,25000000.0,premier league,30
639,Manchester United,Jadon Sancho,Lewy napastnik,25 mar 2000 (22),"1,80m",prawonożny,23 lip 2021,30 cze 2026,60000000.0,premier league,22
640,Manchester United,Marcus Rashford,Lewy napastnik,31 paź 1997 (25),"1,85m",prawonożny,1 sty 2016,30 cze 2024,55000000.0,premier league,25
641,Manchester United,Anthony Elanga,Lewy napastnik,27 kwi 2002 (20),"1,78m",prawonożny,1 sty 2022,30 cze 2026,25000000.0,premier league,20
642,Manchester United,Alejandro Garnacho,Lewy napastnik,1 lip 2004 (18),"1,80m",prawonożny,1 lip 2022,30 cze 2024,5000000.0,premier league,18
643,Manchester United,Antony,Prawy napastnik,24 lut 2000 (22),"1,72m",lewonożny,30 sie 2022,30 cze 2027,75000000.0,premier league,22
644,Manchester United,Facundo Pellistri,Prawy napastnik,20 gru 2001 (21),"1,74m",prawonożny,5 paź 2020,30 cze 2025,3000000.0,premier league,21
645,Manchester United,Mason Greenwood ,Prawy napastnik,1 paź 2001 (21),"1,81m",obunożny,1 lip 2019,30 cze 2025,-,premier league,21
646,Manchester United,Anthony Martial,Środkowy napastnik,5 gru 1995 (27),"1,81m",prawonożny,1 wrz 2015,30 cze 2024,15000000.0,premier league,27
647,Manchester United,Wout Weghorst,Środkowy napastnik,7 sie 1992 (30),"1,97m",prawonożny,13 sty 2023,30 cze 2023,14000000.0,premier league,30
648,Tottenham Hotspur,Hugo Lloris,Bramkarz,26 gru 1986 (36),"1,88m",lewonożny,31 sie 2012,30 cze 2024,7000000.0,premier league,36
649,Tottenham Hotspur,Fraser Forster,Bramkarz,17 mar 1988 (34),"2,01m",prawonożny,1 lip 2022,30 cze 2024,1500000.0,premier league,34
650,Tottenham Hotspur,Alfie Whiteman,Bramkarz,2 paź 1998 (24),"1,88m",prawonożny,1 lip 2019,30 cze 2023,500000.0,premier league,24
651,Tottenham Hotspur,Brandon Austin,Bramkarz,8 sty 1999 (24),"1,88m",prawonożny,1 sie 2021,30 cze 2024,300000.0,premier league,24
652,Tottenham Hotspur,Cristian Romero,Środkowy obrońca,27 kwi 1998 (24),"1,85m",prawonożny,30 sie 2022,30 cze 2027,60000000.0,premier league,24
653,Tottenham Hotspur,Eric Dier,Środkowy obrońca,15 sty 1994 (29),"1,88m",prawonożny,31 lip 2014,30 cze 2024,30000000.0,premier league,29
654,Tottenham Hotspur,Davinson Sánchez,Środkowy obrońca,12 cze 1996 (26),"1,87m",prawonożny,23 sie 2017,30 cze 2024,25000000.0,premier league,26
655,Tottenham Hotspur,Clément Lenglet,Środkowy obrońca,17 cze 1995 (27),"1,86m",lewonożny,8 lip 2022,30 cze 2023,12000000.0,premier league,27
656,Tottenham Hotspur,Japhet Tanganga,Środkowy obrońca,31 mar 1999 (23),"1,84m",prawonożny,1 sty 2020,30 cze 2025,9000000.0,premier league,23
657,Tottenham Hotspur,Ben Davies,Lewy obrońca,24 kwi 1993 (29),"1,81m",lewonożny,23 lip 2014,30 cze 2025,20000000.0,premier league,29
658,Tottenham Hotspur,Emerson Royal,Prawy obrońca,14 sty 1999 (24),"1,83m",prawonożny,31 sie 2021,30 cze 2026,30000000.0,premier league,24
659,Tottenham Hotspur,Djed Spence,Prawy obrońca,9 sie 2000 (22),"1,84m",prawonożny,19 lip 2022,30 cze 2027,13000000.0,premier league,22
660,Tottenham Hotspur,Matt Doherty,Prawy obrońca,16 sty 1992 (31),"1,85m",prawonożny,30 sie 2020,30 cze 2024,12000000.0,premier league,31
661,Tottenham Hotspur,Oliver Skipp,Defensywny pomocnik,16 wrz 2000 (22),"1,75m",prawonożny,1 lip 2018,30 cze 2027,15000000.0,premier league,22
662,Tottenham Hotspur,Pierre-Emile Höjbjerg ,Środkowy pomocnik,5 sie 1995 (27),"1,85m",prawonożny,11 sie 2020,30 cze 2025,45000000.0,premier league,27
663,Tottenham Hotspur,Rodrigo Bentancur ,Środkowy pomocnik,25 cze 1997 (25),"1,87m",prawonożny,31 sty 2022,30 cze 2026,40000000.0,premier league,25
664,Tottenham Hotspur,Yves Bissouma,Środkowy pomocnik,30 sie 1996 (26),"1,82m",prawonożny,1 lip 2022,30 cze 2026,32000000.0,premier league,26
665,Tottenham Hotspur,Pape Matar Sarr,Środkowy pomocnik,14 wrz 2002 (20),"1,84m",prawonożny,27 sie 2021,30 cze 2026,15000000.0,premier league,20
666,Tottenham Hotspur,Ryan Sessegnon,Lewy pomocnik,18 maj 2000 (22),"1,78m",lewonożny,8 sie 2019,30 cze 2025,22000000.0,premier league,22
667,Tottenham Hotspur,Ivan Perisic,Lewy pomocnik,2 lut 1989 (33),"1,86m",obunożny,1 lip 2022,30 cze 2024,10000000.0,premier league,33
668,Tottenham Hotspur,Heung-min Son,Lewy napastnik,8 lip 1992 (30),"1,84m",obunożny,28 sie 2015,30 cze 2025,70000000.0,premier league,30
669,Tottenham Hotspur,Bryan Gil,Lewy napastnik,11 lut 2001 (21),"1,75m",lewonożny,26 lip 2021,30 cze 2026,12000000.0,premier league,21
670,Tottenham Hotspur,Dejan Kulusevski,Prawy napastnik,25 kwi 2000 (22),"1,86m",lewonożny,31 sty 2022,30 cze 2023,50000000.0,premier league,22
671,Tottenham Hotspur,Lucas Moura,Prawy napastnik,13 sie 1992 (30),"1,72m",prawonożny,31 sty 2018,30 cze 2023,12000000.0,premier league,30
672,Tottenham Hotspur,Harry Kane,Środkowy napastnik,28 lip 1993 (29),"1,88m",prawonożny,1 sty 2011,30 cze 2024,90000000.0,premier league,29
673,Tottenham Hotspur,Richarlison ,Środkowy napastnik,10 maj 1997 (25),"1,84m",prawonożny,1 lip 2022,30 cze 2027,55000000.0,premier league,25
674,Aston Villa,Emiliano Martínez,Bramkarz,2 wrz 1992 (30),"1,95m",prawonożny,16 wrz 2020,30 cze 2027,28000000.0,premier league,30
675,Aston Villa,Robin Olsen,Bramkarz,8 sty 1990 (33),"1,96m",prawonożny,1 lip 2022,-,2000000.0,premier league,33
676,Aston Villa,Jed Steer,Bramkarz,23 wrz 1992 (30),"1,83m",lewonożny,1 lip 2013,30 cze 2023,600000.0,premier league,30
677,Aston Villa,Diego Carlos ,Środkowy obrońca,15 mar 1993 (29),"1,85m",prawonożny,1 lip 2022,30 cze 2026,30000000.0,premier league,29
678,Aston Villa,Tyrone Mings,Środkowy obrońca,13 mar 1993 (29),"1,96m",lewonożny,8 lip 2019,30 cze 2024,25000000.0,premier league,29
679,Aston Villa,Ezri Konsa,Środkowy obrońca,23 paź 1997 (25),"1,83m",prawonożny,11 lip 2019,30 cze 2026,22000000.0,premier league,25
680,Aston Villa,Jan Bednarek,Środkowy obrońca,12 kwi 1996 (26),"1,89m",prawonożny,1 wrz 2022,31 maj 2023,18000000.0,premier league,26
681,Aston Villa,Calum Chambers,Środkowy obrońca,20 sty 1995 (27),"1,82m",prawonożny,27 sty 2022,30 cze 2025,10000000.0,premier league,27
682,Aston Villa,Lucas Digne,Lewy obrońca,20 lip 1993 (29),"1,78m",lewonożny,13 sty 2022,30 cze 2026,22000000.0,premier league,29
683,Aston Villa,Álex Moreno,Lewy obrońca,8 cze 1993 (29),"1,79m",lewonożny,11 sty 2023,30 cze 2026,20000000.0,premier league,29
684,Aston Villa,Ludwig Augustinsson,Lewy obrońca,21 kwi 1994 (28),"1,81m",lewonożny,11 lip 2022,30 cze 2023,4000000.0,premier league,28
685,Aston Villa,Matty Cash,Prawy obrońca,7 sie 1997 (25),"1,85m",prawonożny,3 wrz 2020,30 cze 2027,22000000.0,premier league,25
686,Aston Villa,Ashley Young,Prawy obrońca,9 lip 1985 (37),"1,75m",obunożny,1 lip 2021,30 cze 2023,1000000.0,premier league,37
687,Aston Villa,Boubacar Kamara,Defensywny pomocnik,23 lis 1999 (23),"1,84m",prawonożny,1 lip 2022,30 cze 2027,25000000.0,premier league,23
688,Aston Villa,Leander Dendoncker,Defensywny pomocnik,15 kwi 1995 (27),"1,88m",prawonożny,1 wrz 2022,-,22000000.0,premier league,27
689,Aston Villa,Marvelous Nakamba,Defensywny pomocnik,19 sty 1994 (28),"1,77m",lewonożny,1 sie 2019,30 cze 2024,5000000.0,premier league,28
690,Aston Villa,Douglas Luiz,Środkowy pomocnik,9 maj 1998 (24),"1,77m",prawonożny,25 lip 2019,30 cze 2026,35000000.0,premier league,24
691,Aston Villa,John McGinn ,Środkowy pomocnik,18 paź 1994 (28),"1,78m",lewonożny,8 sie 2018,30 cze 2025,30000000.0,premier league,28
692,Aston Villa,Jacob Ramsey,Środkowy pomocnik,28 maj 2001 (21),"1,80m",prawonożny,1 lip 2020,30 cze 2027,28000000.0,premier league,21
693,Aston Villa,Morgan Sanson,Środkowy pomocnik,18 sie 1994 (28),"1,80m",prawonożny,26 sty 2021,30 cze 2025,6000000.0,premier league,28
694,Aston Villa,Leon Bailey,Lewy napastnik,9 sie 1997 (25),"1,78m",lewonożny,4 sie 2021,30 cze 2025,25000000.0,premier league,25
695,Aston Villa,Philippe Coutinho,Lewy napastnik,12 cze 1992 (30),"1,72m",prawonożny,1 lip 2022,30 cze 2026,18000000.0,premier league,30
696,Aston Villa,Emiliano Buendía,Prawy napastnik,25 gru 1996 (26),"1,72m",prawonożny,1 lip 2021,30 cze 2026,28000000.0,premier league,26
697,Aston Villa,Ollie Watkins,Środkowy napastnik,30 gru 1995 (27),"1,80m",prawonożny,9 wrz 2020,30 cze 2025,32000000.0,premier league,27
698,Aston Villa,Danny Ings,Środkowy napastnik,23 lip 1992 (30),"1,77m",prawonożny,4 sie 2021,30 cze 2024,16000000.0,premier league,30
699,Aston Villa,Jhon Durán,Środkowy napastnik,13 gru 2003 (19),"1,85m",lewonożny,16 sty 2023,-,6000000.0,premier league,19
700,West Ham United,Alphonse Areola,Bramkarz,27 lut 1993 (29),"1,95m",prawonożny,1 lip 2022,30 cze 2027,8000000.0,premier league,29
701,West Ham United,Lukasz Fabianski,Bramkarz,18 kwi 1985 (37),"1,90m",prawonożny,1 lip 2018,30 cze 2023,1000000.0,premier league,37
702,West Ham United,Darren Randolph,Bramkarz,12 maj 1987 (35),"1,87m",prawonożny,15 sty 2020,30 cze 2023,500000.0,premier league,35
703,West Ham United,Kurt Zouma,Środkowy obrońca,27 paź 1994 (28),"1,90m",prawonożny,28 sie 2021,30 cze 2025,32000000.0,premier league,28
704,West Ham United,Nayef Aguerd,Środkowy obrońca,30 mar 1996 (26),"1,88m",lewonożny,1 lip 2022,30 cze 2027,25000000.0,premier league,26
705,West Ham United,Thilo Kehrer,Środkowy obrońca,21 wrz 1996 (26),"1,86m",prawonożny,17 sie 2022,30 cze 2026,22000000.0,premier league,26
706,West Ham United,Craig Dawson,Środkowy obrońca,6 maj 1990 (32),"1,88m",prawonożny,1 lip 2021,30 cze 2023,2500000.0,premier league,32
707,West Ham United,Luizão,Środkowy obrońca,8 mar 2002 (20),"1,87m",lewonożny,1 sty 2023,30 cze 2026,1000000.0,premier league,20
708,West Ham United,Angelo Ogbonna,Środkowy obrońca,23 maj 1988 (34),"1,91m",lewonożny,10 lip 2015,30 cze 2023,1000000.0,premier league,34
709,West Ham United,Emerson,Lewy obrońca,3 sie 1994 (28),"1,76m",lewonożny,23 sie 2022,30 cze 2026,12000000.0,premier league,28
710,West Ham United,Aaron Cresswell ,Lewy obrońca,15 gru 1989 (33),"1,70m",lewonożny,3 lip 2014,30 cze 2023,2500000.0,premier league,33
711,West Ham United,Ben Johnson,Prawy obrońca,24 sty 2000 (22),"1,84m",prawonożny,1 lip 2020,30 cze 2024,12000000.0,premier league,22
712,West Ham United,Vladimir Coufal,Prawy obrońca,22 sie 1992 (30),"1,79m",prawonożny,2 paź 2020,30 cze 2023,9000000.0,premier league,30
713,West Ham United,Declan Rice,Defensywny pomocnik,14 sty 1999 (24),"1,88m",prawonożny,1 lip 2017,30 cze 2024,80000000.0,premier league,24
714,West Ham United,Tomas Soucek,Defensywny pomocnik,27 lut 1995 (27),"1,92m",prawonożny,27 lip 2020,30 cze 2024,45000000.0,premier league,27
715,West Ham United,Conor Coventry,Defensywny pomocnik,25 mar 2000 (22),"1,77m",prawonożny,1 sty 2021,30 cze 2023,1000000.0,premier league,22
716,West Ham United,Flynn Downes,Środkowy pomocnik,20 sty 1999 (23),"1,78m",prawonożny,7 lip 2022,30 cze 2027,8000000.0,premier league,23
717,West Ham United,Lucas Paquetá,Ofensywny pomocnik,27 sie 1997 (25),"1,80m",lewonożny,29 sie 2022,30 cze 2027,45000000.0,premier league,25
718,West Ham United,Pablo Fornals,Ofensywny pomocnik,22 lut 1996 (26),"1,78m",prawonożny,1 lip 2019,30 cze 2024,25000000.0,premier league,26
719,West Ham United,Manuel Lanzini,Ofensywny pomocnik,15 lut 1993 (29),"1,67m",prawonożny,1 lip 2016,30 cze 2023,10000000.0,premier league,29
720,West Ham United,Saïd Benrahma,Lewy napastnik,10 sie 1995 (27),"1,72m",prawonożny,29 sty 2021,30 cze 2026,22000000.0,premier league,27
721,West Ham United,Maxwel Cornet,Lewy napastnik,27 wrz 1996 (26),"1,79m",lewonożny,5 sie 2022,30 cze 2027,15000000.0,premier league,26
722,West Ham United,Jarrod Bowen,Prawy napastnik,20 gru 1996 (26),"1,82m",lewonożny,31 sty 2020,30 cze 2025,42000000.0,premier league,26
723,West Ham United,Gianluca Scamacca,Środkowy napastnik,1 sty 1999 (24),"1,95m",prawonożny,26 lip 2022,30 cze 2027,30000000.0,premier league,24
724,West Ham United,Michail Antonio,Środkowy napastnik,28 mar 1990 (32),"1,80m",prawonożny,1 wrz 2015,30 cze 2024,9000000.0,premier league,32
725,Newcastle United,Nick Pope,Bramkarz,19 kwi 1992 (30),"1,98m",prawonożny,1 lip 2022,30 cze 2026,18000000.0,premier league,30
726,Newcastle United,Martin Dúbravka,Bramkarz,15 sty 1989 (34),"1,91m",prawonożny,1 lip 2018,30 cze 2025,4000000.0,premier league,34
727,Newcastle United,Karl Darlow,Bramkarz,8 paź 1990 (32),"1,90m",prawonożny,9 sie 2014,30 cze 2025,1800000.0,premier league,32
728,Newcastle United,Mark Gillespie,Bramkarz,27 mar 1992 (30),"1,91m",prawonożny,3 lip 2020,30 cze 2023,300000.0,premier league,30
729,Newcastle United,Sven Botman,Środkowy obrońca,12 sty 2000 (23),"1,95m",lewonożny,1 lip 2022,30 cze 2027,38000000.0,premier league,23
730,Newcastle United,Dan Burn,Środkowy obrońca,9 maj 1992 (30),"2,01m",lewonożny,31 sty 2022,30 cze 2024,12000000.0,premier league,30
731,Newcastle United,Fabian Schär,Środkowy obrońca,20 gru 1991 (31),"1,86m",prawonożny,26 lip 2018,30 cze 2024,10000000.0,premier league,31
732,Newcastle United,Jamaal Lascelles,Środkowy obrońca,11 lis 1993 (29),"1,88m",prawonożny,9 sie 2014,30 cze 2024,7000000.0,premier league,29
733,Newcastle United,Matt Targett,Lewy obrońca,18 wrz 1995 (27),"1,83m",lewonożny,1 lip 2022,30 cze 2026,15000000.0,premier league,27
734,Newcastle United,Jamal Lewis,Lewy obrońca,25 sty 1998 (24),"1,78m",lewonożny,8 wrz 2020,30 cze 2025,8000000.0,premier league,24
735,Newcastle United,Paul Dummett,Lewy obrońca,26 wrz 1991 (31),"1,83m",lewonożny,1 lip 2012,30 cze 2023,1200000.0,premier league,31
736,Newcastle United,Kieran Trippier,Prawy obrońca,19 wrz 1990 (32),"1,73m",prawonożny,7 sty 2022,30 cze 2024,13000000.0,premier league,32
737,Newcastle United,Emil Krafth ,Prawy obrońca,2 sie 1994 (28),"1,84m",prawonożny,8 sie 2019,30 cze 2024,4000000.0,premier league,28
738,Newcastle United,Javier Manquillo,Prawy obrońca,5 maj 1994 (28),"1,78m",prawonożny,21 lip 2017,30 cze 2024,3000000.0,premier league,28
739,Newcastle United,Bruno Guimarães,Defensywny pomocnik,16 lis 1997 (25),"1,82m",prawonożny,30 sty 2022,30 cze 2026,60000000.0,premier league,25
740,Newcastle United,Joe Willock,Środkowy pomocnik,20 sie 1999 (23),"1,86m",prawonożny,13 sie 2021,30 cze 2027,30000000.0,premier league,23
741,Newcastle United,Sean Longstaff,Środkowy pomocnik,30 paź 1997 (25),"1,81m",prawonożny,1 sty 2019,30 cze 2025,22000000.0,premier league,25
742,Newcastle United,Jonjo Shelvey,Środkowy pomocnik,27 lut 1992 (30),"1,84m",prawonożny,12 sty 2016,30 cze 2023,7000000.0,premier league,30
743,Newcastle United,Matty Longstaff ,Środkowy pomocnik,21 mar 2000 (22),"1,71m",prawonożny,1 lip 2019,30 cze 2023,1800000.0,premier league,22
744,Newcastle United,Matt Ritchie,Prawy pomocnik,10 wrz 1989 (33),"1,73m",lewonożny,1 lip 2016,30 cze 2023,1800000.0,premier league,33
745,Newcastle United,Joelinton,Ofensywny pomocnik,14 sie 1996 (26),"1,86m",prawonożny,23 lip 2019,30 cze 2025,32000000.0,premier league,26
746,Newcastle United,Elliot Anderson,Ofensywny pomocnik,6 lis 2002 (20),"1,79m",prawonożny,1 lip 2022,30 cze 2026,3500000.0,premier league,20
747,Newcastle United,Allan Saint-Maximin,Lewy napastnik,12 mar 1997 (25),"1,73m",prawonożny,2 sie 2019,30 cze 2026,40000000.0,premier league,25
